city,date,temperature,feels_like,humidity,description,wind_speed
Istanbul,2024-12-12,8.5,6.1,80,light drizzle,2.28
Istanbul,2024-12-13,7.0,4.0,77,light drizzle,2.89
Istanbul,2024-12-14,6.2,3.1,66,overcast clouds,1.94
Istanbul,2024-12-15,9.3,6.1,82,light rain,4.28
Istanbul,2024-12-16,7.9,4.8,72,moderate drizzle,2.83
Istanbul,2024-12-17,9.2,5.8,73,clear sky,3.92
Istanbul,2024-12-18,10.2,8.8,88,clear sky,1.81
Istanbul,2024-12-19,9.3,7.7,83,overcast clouds,1.25
Istanbul,2024-12-20,10.5,8.2,77,overcast clouds,2.69
Istanbul,2024-12-21,11.3,9.3,84,moderate rain,3.06
Istanbul,2024-12-22,7.4,4.2,82,dense drizzle,3.61
Istanbul,2024-12-23,9.7,7.3,78,overcast clouds,2.86
Istanbul,2024-12-24,11.0,8.7,79,light rain,3.19
Istanbul,2024-12-25,11.5,9.6,86,moderate drizzle,3.08
Istanbul,2024-12-26,10.9,7.4,88,dense drizzle,6.22
Istanbul,2024-12-27,6.8,1.9,83,moderate drizzle,6.56
Istanbul,2024-12-28,7.1,2.7,80,light drizzle,5.56
Istanbul,2024-12-29,7.3,2.9,82,moderate drizzle,5.92
Istanbul,2024-12-30,6.8,3.4,80,overcast clouds,3.72
Istanbul,2024-12-31,6.7,4.2,82,overcast clouds,2.0
Istanbul,2025-01-01,5.9,4.1,90,overcast clouds,0.92
Istanbul,2025-01-02,8.5,5.8,84,overcast clouds,3.0
Istanbul,2025-01-03,11.6,7.8,73,overcast clouds,5.83
Istanbul,2025-01-04,9.3,6.0,84,moderate rain,4.72
Istanbul,2025-01-05,7.4,4.2,76,overcast clouds,3.03
Istanbul,2025-01-06,7.8,5.7,86,partly cloudy,2.06
Istanbul,2025-01-07,11.7,8.7,77,overcast clouds,4.58
Istanbul,2025-01-08,13.7,11.1,76,overcast clouds,4.83
Istanbul,2025-01-09,12.6,11.1,81,overcast clouds,2.67
Istanbul,2025-01-10,11.8,10.1,80,overcast clouds,2.5
Istanbul,2025-01-11,9.1,6.3,88,moderate rain,4.06
Istanbul,2025-01-12,7.4,4.1,89,moderate drizzle,4.33
Istanbul,2025-01-13,5.9,1.2,88,light rain,6.25
Istanbul,2025-01-14,6.4,1.9,81,moderate drizzle,5.78
Istanbul,2025-01-15,6.6,2.2,86,light rain,5.83
Istanbul,2025-01-16,6.1,2.5,82,light drizzle,3.94
Istanbul,2025-01-17,5.9,2.9,74,overcast clouds,2.19
Istanbul,2025-01-18,5.7,3.5,78,mainly clear,0.81
Istanbul,2025-01-19,5.8,3.8,86,overcast clouds,1.06
Istanbul,2025-01-20,6.5,3.3,77,overcast clouds,2.92
Istanbul,2025-01-21,6.9,4.6,81,overcast clouds,1.69
Istanbul,2025-01-22,9.2,7.9,89,light rain,1.33
Istanbul,2025-01-23,7.9,6.5,95,overcast clouds,1.42
Istanbul,2025-01-24,10.2,8.2,85,overcast clouds,2.78
Istanbul,2025-01-25,9.1,7.0,84,heavy rain,2.47
Istanbul,2025-01-26,7.4,5.1,85,overcast clouds,2.14
Istanbul,2025-01-27,7.4,5.6,92,overcast clouds,1.58
Istanbul,2025-01-28,9.4,7.3,86,overcast clouds,2.56
Istanbul,2025-01-29,12.3,9.6,75,overcast clouds,4.22
Istanbul,2025-01-30,11.9,10.2,74,overcast clouds,1.97
Istanbul,2025-01-31,11.2,10.1,81,light drizzle,1.11
Istanbul,2025-02-01,8.7,7.4,93,overcast clouds,1.42
Istanbul,2025-02-02,9.1,6.7,83,overcast clouds,2.78
Istanbul,2025-02-03,7.2,5.1,91,overcast clouds,1.97
