time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-09-13,61,26.0,30.9,83,4.2
2020-09-14,63,26.1,31.4,87,4.7
2020-09-15,51,26.9,32.0,81,4.6
2020-09-16,51,26.9,32.1,82,4.4
2020-09-17,61,27.0,32.1,83,5.8
2020-09-18,61,26.9,32.4,84,5.3
2020-09-19,61,26.8,31.6,83,7.6
2020-09-20,61,26.4,31.2,83,5.2
2020-09-21,63,25.6,30.8,87,4.3
2020-09-22,63,26.3,32.0,88,4.8
2020-09-23,65,26.7,32.1,84,4.7
2020-09-24,63,26.6,32.0,84,4.9
2020-09-25,63,26.0,30.9,86,6.1
2020-09-26,65,25.7,30.1,82,6.5
2020-09-27,53,26.1,30.7,83,5.5
2020-09-28,51,26.9,31.1,77,8.2
2020-09-29,63,26.1,31.3,86,5.4
2020-09-30,63,27.1,32.1,80,5.9
2020-10-01,63,25.6,30.7,89,4.8
2020-10-02,63,25.9,31.1,86,4.5
2020-10-03,61,25.6,30.4,85,4.4
2020-10-04,63,26.8,32.2,82,4.3
2020-10-05,63,26.6,32.3,87,4.9
2020-10-06,65,26.7,32.5,87,3.8
2020-10-07,63,25.8,30.7,89,7.8
2020-10-08,61,26.0,30.6,86,8.8
2020-10-09,61,26.4,32.2,90,4.1
2020-10-10,53,26.7,31.8,83,5.2
2020-10-11,53,26.6,31.9,85,4.9
2020-10-12,63,26.8,31.7,82,6.7
2020-10-13,53,27.2,32.0,79,4.9
2020-10-14,51,27.2,32.9,83,3.4
2020-10-15,61,27.0,32.1,83,5.9
2020-10-16,51,27.1,32.1,81,5.9
2020-10-17,3,28.1,33.2,76,6.0
2020-10-18,55,27.8,33.2,79,6.3
2020-10-19,51,27.4,32.8,82,5.4
2020-10-20,51,27.5,33.1,81,4.4
2020-10-21,61,27.2,32.5,83,5.9
2020-10-22,61,26.0,31.0,88,7.1
2020-10-23,51,26.9,31.9,82,5.4
2020-10-24,63,26.4,32.0,87,4.5
2020-10-25,61,26.1,31.6,88,4.9
2020-10-26,51,25.8,30.1,84,7.7
2020-10-27,51,27.2,32.0,77,5.4
2020-10-28,51,27.4,32.8,80,4.3
2020-10-29,63,27.1,32.6,83,5.1
2020-10-30,61,27.2,32.7,83,5.0
2020-10-31,65,26.5,31.9,85,4.4
2020-11-01,63,25.7,30.7,88,6.3
2020-11-02,65,26.2,31.4,86,5.3
2020-11-03,63,25.8,31.0,89,4.9
2020-11-04,63,25.8,30.7,86,4.2
2020-11-05,63,26.5,31.8,85,5.3
2020-11-06,63,26.2,31.7,88,4.1
2020-11-07,63,26.0,31.4,88,4.3
2020-11-08,63,26.1,31.4,86,3.8
2020-11-09,63,25.5,30.8,89,3.4
2020-11-10,63,25.4,30.9,92,4.3
2020-11-11,61,26.8,32.5,85,3.7
2020-11-12,51,27.7,33.3,81,4.7
2020-11-13,61,27.7,33.4,81,3.8
2020-11-14,63,27.3,33.1,85,4.3
2020-11-15,63,26.5,31.9,86,5.1
2020-11-16,63,26.5,32.1,87,5.5
2020-11-17,63,26.1,31.7,89,4.1
2020-11-18,63,26.2,31.7,88,4.6
2020-11-19,63,26.0,31.5,87,4.1
2020-11-20,63,26.3,31.5,85,3.5
2020-11-21,65,25.5,30.7,89,4.6
2020-11-22,61,25.9,30.5,86,7.0
2020-11-23,63,25.5,30.8,88,3.9
2020-11-24,63,24.7,29.9,90,2.6
2020-11-25,61,25.2,30.2,89,4.0
2020-11-26,63,26.3,31.5,84,4.1
2020-11-27,65,25.8,31.1,88,4.2
2020-11-28,55,25.4,30.5,89,4.6
2020-11-29,53,26.5,31.8,82,2.9
2020-11-30,61,26.4,31.8,88,5.0
